activity_id,user_id,activity_id_num,user_id_num,identifier_id,has_up,has_down,up_path,down_path,has_data_up,has_data_down,WTLA,WTC,WTRA,WTRL,WTLL,activity_id_num_ori,data_type
0洗脸,user10,0,10,4-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user10/4-2-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user10/4-2-1/下(LL+RL).csv,True,True,15,14,14,15,15,0,train
0洗脸,user10,0,10,4-2-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user10/4-2-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user10/4-2-2/下(LL+RL).csv,True,True,9,11,10,9,10,0,test
0洗脸,user10,0,10,4-2-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user10/4-2-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user10/4-2-3/下(LL+RL).csv,True,True,13,14,13,12,13,0,train
0洗脸,user11,0,11,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/1-1-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/1-1-1/下(LL+RL).csv,True,True,11,10,11,11,11,0,train
0洗脸,user11,0,11,1-1-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/1-1-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/1-1-2/下(LL+RL).csv,True,True,9,11,10,10,10,0,train
0洗脸,user11,0,11,1-1-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/1-1-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/1-1-3/下(LL+RL).csv,True,True,3,2,3,3,3,0,train
0洗脸,user11,0,11,4-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/4-2-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/4-2-1/下(LL+RL).csv,True,True,25,25,25,24,25,0,test
0洗脸,user11,0,11,4-2-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/4-2-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/4-2-2/下(LL+RL).csv,True,True,10,11,11,11,11,0,train
0洗脸,user11,0,11,4-2-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/4-2-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user11/4-2-3/下(LL+RL).csv,True,True,4,4,4,4,5,0,test
0洗脸,user12,0,12,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user12/1-1-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user12/1-1-1/下(LL+RL).csv,True,True,10,11,10,9,10,0,test
0洗脸,user12,0,12,1-1-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user12/1-1-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user12/1-1-2/下(LL+RL).csv,True,True,14,12,12,12,12,0,train
0洗脸,user12,0,12,1-1-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user12/1-1-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user12/1-1-3/下(LL+RL).csv,True,True,9,10,11,10,10,0,train
0洗脸,user12,0,12,2-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user12/2-2-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user12/2-2-1/下(LL+RL).csv,True,True,26,25,25,25,26,0,train
0洗脸,user12,0,12,2-2-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user12/2-2-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user12/2-2-2/下(LL+RL).csv,True,True,9,9,9,10,9,0,train
0洗脸,user12,0,12,2-2-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user12/2-2-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user12/2-2-3/下(LL+RL).csv,True,True,9,10,9,9,9,0,train
0洗脸,user13,0,13,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user13/1-1-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user13/1-1-1/下(LL+RL).csv,True,True,19,19,21,19,20,0,train
0洗脸,user13,0,13,1-1-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user13/1-1-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user13/1-1-2/下(LL+RL).csv,True,True,9,10,11,10,11,0,train
0洗脸,user13,0,13,1-1-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user13/1-1-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user13/1-1-3/下(LL+RL).csv,True,True,10,10,9,10,11,0,train
0洗脸,user14,0,14,6-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user14/6-2-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user14/6-2-1/下(LL+RL).csv,True,True,30,30,31,30,30,0,train
0洗脸,user14,0,14,6-2-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user14/6-2-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user14/6-2-2/下(LL+RL).csv,True,True,21,18,21,21,22,0,train
0洗脸,user14,0,14,6-2-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user14/6-2-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user14/6-2-3/下(LL+RL).csv,True,True,8,8,7,7,7,0,test
0洗脸,user14,0,14,7-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user14/7-1-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user14/7-1-1/下(LL+RL).csv,True,True,21,21,21,20,20,0,train
0洗脸,user14,0,14,7-1-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user14/7-1-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user14/7-1-2/下(LL+RL).csv,True,True,17,18,16,15,15,0,test
0洗脸,user14,0,14,7-1-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user14/7-1-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user14/7-1-3/下(LL+RL).csv,True,True,22,21,22,19,19,0,train
0洗脸,user15,0,15,3-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user15/3-2-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user15/3-2-1/下(LL+RL).csv,True,True,15,14,14,14,14,0,train
0洗脸,user15,0,15,3-2-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user15/3-2-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user15/3-2-3/下(LL+RL).csv,True,True,3,4,4,3,3,0,train
0洗脸,user15,0,15,5-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user15/5-2-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user15/5-2-1/下(LL+RL).csv,True,True,13,13,13,13,13,0,train
0洗脸,user15,0,15,5-2-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user15/5-2-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user15/5-2-2/下(LL+RL).csv,True,True,3,4,4,5,5,0,train
0洗脸,user15,0,15,5-2-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user15/5-2-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user15/5-2-3/下(LL+RL).csv,True,True,6,5,6,5,6,0,test
0洗脸,user16,0,16,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user16/1-1-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user16/1-1-1/下(LL+RL).csv,True,True,45,46,46,46,44,0,train
0洗脸,user16,0,16,1-1-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user16/1-1-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user16/1-1-2/下(LL+RL).csv,True,True,55,53,55,54,53,0,train
0洗脸,user16,0,16,1-1-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user16/1-1-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user16/1-1-3/下(LL+RL).csv,True,True,18,18,17,21,20,0,train
0洗脸,user18,0,18,7-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user18/7-1-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user18/7-1-1/下(LL+RL).csv,True,True,20,20,20,20,20,0,test
0洗脸,user18,0,18,7-1-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user18/7-1-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user18/7-1-2/下(LL+RL).csv,True,True,11,11,11,10,13,0,train
0洗脸,user18,0,18,7-1-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user18/7-1-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user18/7-1-3/下(LL+RL).csv,True,True,2,2,2,3,2,0,train
0洗脸,user20,0,20,4-2-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user20/4-2-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user20/4-2-2/下(LL+RL).csv,True,True,22,23,22,23,22,0,train
0洗脸,user20,0,20,4-2-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user20/4-2-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user20/4-2-3/下(LL+RL).csv,True,True,32,31,33,32,32,0,train
0洗脸,user21,0,21,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user21/1-1-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user21/1-1-1/下(LL+RL).csv,True,True,14,14,14,12,14,0,train
0洗脸,user21,0,21,1-1-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user21/1-1-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user21/1-1-2/下(LL+RL).csv,True,True,8,9,9,8,9,0,train
0洗脸,user21,0,21,1-1-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user21/1-1-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user21/1-1-3/下(LL+RL).csv,True,True,4,4,5,5,5,0,test
0洗脸,user21,0,21,4-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user21/4-2-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user21/4-2-1/下(LL+RL).csv,True,True,7,5,6,4,6,0,train
0洗脸,user21,0,21,4-2-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user21/4-2-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user21/4-2-2/下(LL+RL).csv,True,True,4,4,5,4,5,0,test
0洗脸,user21,0,21,4-2-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user21/4-2-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user21/4-2-3/下(LL+RL).csv,True,True,8,8,8,9,8,0,train
0洗脸,user22,0,22,1-1-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user22/1-1-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user22/1-1-2/下(LL+RL).csv,True,True,25,25,25,25,1,0,train
0洗脸,user22,0,22,1-1-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user22/1-1-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user22/1-1-3/下(LL+RL).csv,True,True,7,7,5,5,8,0,test
0洗脸,user22,0,22,2-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user22/2-2-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user22/2-2-1/下(LL+RL).csv,True,True,14,15,14,16,16,0,train
0洗脸,user22,0,22,2-2-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user22/2-2-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user22/2-2-2/下(LL+RL).csv,True,True,12,11,12,12,13,0,test
0洗脸,user22,0,22,2-2-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user22/2-2-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user22/2-2-3/下(LL+RL).csv,True,True,3,2,3,4,3,0,train
0洗脸,user23,0,23,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user23/1-1-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user23/1-1-1/下(LL+RL).csv,True,True,40,42,42,41,42,0,train
0洗脸,user23,0,23,1-1-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user23/1-1-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user23/1-1-2/下(LL+RL).csv,True,True,18,18,18,17,19,0,train
0洗脸,user23,0,23,1-1-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user23/1-1-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user23/1-1-3/下(LL+RL).csv,True,True,16,15,17,17,16,0,train
0洗脸,user24,0,24,6-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user24/6-2-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user24/6-2-1/下(LL+RL).csv,True,True,33,33,34,34,35,0,train
0洗脸,user24,0,24,6-2-2,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user24/6-2-2/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user24/6-2-2/下(LL+RL).csv,True,True,26,24,25,24,25,0,train
0洗脸,user24,0,24,6-2-3,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user24/6-2-3/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user24/6-2-3/下(LL+RL).csv,True,True,15,16,16,18,15,0,test
0洗脸,user24,0,24,7-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user24/7-1-1/上(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-Final/SM_data/IMU/0洗脸/user24/7-1-1/下(LL+RL).csv,True,True,29,30,30,29,29,0,train
