activity_id,user_id,activity_id_num,user_id_num,identifier_id,has_up,has_down,up_path,down_path,has_data_up,has_data_down,WTLA,WTC,WTRA,WTRL,WTLL,data_type
0_washing_face,user10,0,10,4-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user10/4-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user10/4-2-1/down(LL+RL).csv,True,True,15,14,14,15,15,train
0_washing_face,user11,0,11,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user11/1-1-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user11/1-1-1/down(LL+RL).csv,True,True,11,10,11,11,11,train
0_washing_face,user11,0,11,4-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user11/4-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user11/4-2-1/down(LL+RL).csv,True,True,25,25,25,24,25,train
0_washing_face,user12,0,12,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user12/1-1-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user12/1-1-1/down(LL+RL).csv,True,True,10,11,10,9,10,train
0_washing_face,user12,0,12,2-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user12/2-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user12/2-2-1/down(LL+RL).csv,True,True,26,25,25,25,26,train
0_washing_face,user13,0,13,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user13/1-1-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user13/1-1-1/down(LL+RL).csv,True,True,19,19,21,19,20,train
0_washing_face,user14,0,14,6-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user14/6-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user14/6-2-1/down(LL+RL).csv,True,True,30,30,31,30,30,train
0_washing_face,user14,0,14,7-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user14/7-1-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user14/7-1-1/down(LL+RL).csv,True,True,21,21,21,20,20,train
0_washing_face,user15,0,15,3-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user15/3-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user15/3-2-1/down(LL+RL).csv,True,True,15,14,14,14,14,train
0_washing_face,user15,0,15,5-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user15/5-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user15/5-2-1/down(LL+RL).csv,True,True,13,13,13,13,13,train
0_washing_face,user16,0,16,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user16/1-1-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user16/1-1-1/down(LL+RL).csv,True,True,45,46,46,46,44,train
0_washing_face,user18,0,18,7-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user18/7-1-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user18/7-1-1/down(LL+RL).csv,True,True,20,20,20,20,20,train
0_washing_face,user21,0,21,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user21/1-1-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user21/1-1-1/down(LL+RL).csv,True,True,14,14,14,12,14,train
0_washing_face,user21,0,21,4-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user21/4-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user21/4-2-1/down(LL+RL).csv,True,True,7,5,6,4,6,train
0_washing_face,user22,0,22,2-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user22/2-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user22/2-2-1/down(LL+RL).csv,True,True,14,15,14,16,16,train
0_washing_face,user23,0,23,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user23/1-1-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user23/1-1-1/down(LL+RL).csv,True,True,40,42,42,41,42,train
0_washing_face,user24,0,24,6-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user24/6-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user24/6-2-1/down(LL+RL).csv,True,True,33,33,34,34,35,train
0_washing_face,user24,0,24,7-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user24/7-1-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user24/7-1-1/down(LL+RL).csv,True,True,29,30,30,29,29,train
0_washing_face,user25,0,25,3-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user25/3-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user25/3-2-1/down(LL+RL).csv,True,True,10,10,11,10,10,train
0_washing_face,user25,0,25,5-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user25/5-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user25/5-2-1/down(LL+RL).csv,True,True,11,11,10,12,10,train
