activity_id,user_id,activity_id_num,user_id_num,identifier_id,has_up,has_down,up_path,down_path,has_data_up,has_data_down,WTLA,WTC,WTRA,WTRL,WTLL
0_washing_face,user10,0,10,4-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user10/4-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user10/4-2-1/down(LL+RL).csv,True,True,15,14,14,15,15
0_washing_face,user11,0,11,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user11/1-1-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user11/1-1-1/down(LL+RL).csv,True,True,11,10,11,11,11
0_washing_face,user11,0,11,4-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user11/4-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user11/4-2-1/down(LL+RL).csv,True,True,25,25,25,24,25
0_washing_face,user12,0,12,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user12/1-1-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user12/1-1-1/down(LL+RL).csv,True,True,10,11,10,9,10
0_washing_face,user12,0,12,2-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user12/2-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user12/2-2-1/down(LL+RL).csv,True,True,26,25,25,25,26
0_washing_face,user13,0,13,1-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user13/1-1-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user13/1-1-1/down(LL+RL).csv,True,True,19,19,21,19,20
0_washing_face,user14,0,14,6-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user14/6-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user14/6-2-1/down(LL+RL).csv,True,True,30,30,31,30,30
0_washing_face,user14,0,14,7-1-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user14/7-1-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user14/7-1-1/down(LL+RL).csv,True,True,21,21,21,20,20
0_washing_face,user15,0,15,3-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user15/3-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user15/3-2-1/down(LL+RL).csv,True,True,15,14,14,14,14
0_washing_face,user15,0,15,5-2-1,True,True,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user15/5-2-1/up(LA+RA+C).csv,/aiot-nvme-15T-x2-hk01/siyang/CUHK-X-example/SM/Data/IMU/0_washing_face/user15/5-2-1/down(LL+RL).csv,True,True,13,13,13,13,13
